Repository,Model,Total,compiled
libcsv,gpt-4o,29,27
libcsv,gpt-3.5-turbo,29,26
libcsv,gpt-4o-mini,29,25
libcsv,claude-3-5-sonnet,29,23
url_parser,gpt-4o,36,26
url_parser,gpt-3.5-turbo,36,11
url_parser,gpt-4o-mini,36,29
url_parser,claude-3-5-sonnet,36,3
optipng,gpt-4o,120,109
optipng,gpt-3.5-turbo,120,78
optipng,gpt-4o-mini,120,96
optipng,claude-3-5-sonnet,120,43
libbmp,gpt-4o,20,19
libbmp,gpt-3.5-turbo,20,15
libbmp,gpt-4o-mini,20,18
libbmp,claude-3-5-sonnet,20,13
u8c,gpt-4o,21,19
u8c,gpt-3.5-turbo,21,17
u8c,gpt-4o-mini,21,19
u8c,claude-3-5-sonnet,21,11
