Repository,Model,total,zero
libcsv,gpt-4o,80,78
libcsv,gpt-3.5-turbo,66,52
libcsv,gpt-4o-mini,65,46
libcsv,claude-3-5-sonnet,55,54
url_parser,gpt-4o,55,45
url_parser,gpt-3.5-turbo,27,21
url_parser,gpt-4o-mini,71,48
url_parser,claude-3-5-sonnet,6,4
optipng,gpt-4o,248,202
optipng,gpt-3.5-turbo,183,145
optipng,gpt-4o-mini,229,171
optipng,claude-3-5-sonnet,102,88
libbmp,gpt-4o,69,57
libbmp,gpt-3.5-turbo,39,29
libbmp,gpt-4o-mini,59,53
libbmp,claude-3-5-sonnet,45,43
u8c,gpt-4o,52,42
u8c,gpt-3.5-turbo,49,41
u8c,gpt-4o-mini,53,44
u8c,claude-3-5-sonnet,29,26
