Repository,Model,Unsafe_lines,Total_lines,safe_lines
libcsv,gpt-4o,10,307,297
libcsv,gpt-3.5-turbo,15,210,195
libcsv,gpt-4o-mini,35,258,223
libcsv,claude-3-5-sonnet,28,260,232
url_parser,gpt-4o,121,378,257
url_parser,gpt-3.5-turbo,30,78,48
url_parser,gpt-4o-mini,117,344,227
url_parser,claude-3-5-sonnet,24,36,12
optipng,gpt-4o,249,1523,1274
optipng,gpt-3.5-turbo,181,617,436
optipng,gpt-4o-mini,217,1151,934
optipng,claude-3-5-sonnet,63,717,654
libbmp,gpt-4o,55,204,149
libbmp,gpt-3.5-turbo,31,104,73
libbmp,gpt-4o-mini,45,167,122
libbmp,claude-3-5-sonnet,13,141,128
u8c,gpt-4o,28,405,377
u8c,gpt-3.5-turbo,27,185,158
u8c,gpt-4o-mini,30,353,323
u8c,claude-3-5-sonnet,43,216,173
